id,source,pedon_id,order,lat,lon,latlon_q,horizon_number,horizon,horizon_type,depth2,depth1,depth,bulk_density,bd_method,cf,cf_method,cconc,cconc_method,mineral_d,ff_d,total_d,ccontent,total_c,ccontent_1m,total_c_1m,pedon_start
59,SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,7,Bhs4,NA,-45.0,-55.0,10.0,1.71,0,0.0,2,11.9,0,,,,20349.0,,20349.0,,False
60,SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,8,Bms,NA,-55.0,-68.0,13.0,1.71,0,0.0,2,1.3,0,,,,2890.0,,2890.0,,False
61,SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,1,Oi,NA,11.0,9.0,2.0,0.11,0,0.0,2,47.0,0,100.0,11.0,111.0,1034.0,355850.0,1034.0,1516.42,True
62,SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,2,Oe,NA,9.0,6.0,3.0,0.11,0,0.0,2,51.7,0,,,,1706.0,,1706.0,,False
63,SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,3,Oa,NA,6.0,0.0,6.0,0.11,0,0.0,2,50.2,0,,,,3313.0,,3313.0,,False
64,SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,4,Bhs1,NA,0.0,-20.0,20.0,1.71,0,0.0,2,14.6,0,,,,49932.0,,49932.0,,False
65,SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,5,Bhs2,NA,-20.0,-77.0,57.0,1.71,0,0.0,2,5.9,0,,,,57507.0,,57507.0,,False
66,SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,6,Bhs3,NA,-77.0,-123.0,46.0,1.71,0,0.0,2,9.7,0,,,,76300.0,,38150.0,,False
67,SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,7,Bhs4,NA,-123.0,-133.0,10.0,1.71,0,0.0,2,15.7,0,,,,26847.0,,0.0,,False
68,SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,8,Bhs5,NA,-133.0,-170.0,37.0,1.71,0,0.0,2,11.3,0,,,,71495.0,,0.0,,False
69,SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,9,Bhs6,NA,-170.0,-210.0,40.0,1.71,0,0.0,2,9.9,0,,,,67716.0,,0.0,,False
70,LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,1,LF,NA,5.0,2.5,2.5,0.14,0,0.0,2,45.94,0,100.0,5.0,105.0,1608.0,9906.0,1608.0,97.7,True
71,LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,2,H,NA,2.5,0.0,2.5,0.14,0,0.0,2,36.94,0,,,,1293.0,,1293.0,,False
72,LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,3,Bfh,NA,0.0,-15.0,15.0,1.38,0,77.0,1,3.8,0,,,,1809.0,,1809.0,,False
73,LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,4,Bf1,NA,-15.0,-30.0,15.0,1.38,0,73.0,1,2.23,0,,,,1246.0,,1246.0,,False
74,LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,5,Bf2,NA,-30.0,-45.0,15.0,1.38,0,73.0,1,2.1,0,,,,1174.0,,1174.0,,False
75,LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,6,Bf3,NA,-45.0,-60.0,15.0,1.38,0,76.0,1,2.06,0,,,,1023.0,,1023.0,,False
76,LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,7,Bfgj1,NA,-60.0,-75.0,15.0,1.38,0,76.0,1,1.8,0,,,,894.0,,894.0,,False
77,LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,8,Bfgj2,NA,-75.0,-90.0,15.0,1.38,0,84.0,1,1.36,0,,,,450.0,,450.0,,False
78,LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,9,BCd,NA,-90.0,-105.0,15.0,1.38,0,54.0,1,0.43,0,,,,409.0,,273.0,,False
79,LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,10,C,NA,105.0,105.0,,,0,0.0,2,,0,,,,,,,,False
80,LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.0333333,LOW,1,LF,NA,10.0,7.5,2.5,0.11,0,0.0,2,43.07,0,100.0,10.0,110.0,1184.0,25911.0,1184.0,256.87,True
81,LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.0333333,LOW,2,H,NA,7.5,0.0,7.5,0.11,0,0.0,2,43.07,0,,,,3553.0,,3553.0,,False
82,LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.0333333,LOW,3,Bhf,NA,0.0,-15.0,15.0,0.86,0,46.0,1,7.1,0,,,,4946.0,,4946.0,,False
83,LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.0333333,LOW,4,Bfh1,NA,-15.0,-30.0,15.0,0.86,0,44.0,1,4.42,0,,,,3193.0,,3193.0,,False
84,LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.0333333,LOW,5,Bfh2,NA,-30.0,-45.0,15.0,0.86,0,42.0,1,3.88,0,,,,2903.0,,2903.0,,False
85,LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.0333333,LOW,6,Bfh3,NA,-45.0,-60.0,15.0,0.86,0,43.0,1,3.86,0,,,,2838.0,,2838.0,,False
86,LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.0333333,LOW,7,Bfh4,NA,-60.0,-75.0,15.0,0.86,0,54.0,1,4.92,0,,,,2920.0,,2920.0,,False
87,LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.0333333,LOW,8,Bfhgj,NA,-75.0,-90.0,15.0,0.86,0,50.0,1,5.74,0,,,,3702.0,,3702.0,,False
88,LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.0333333,LOW,9,BCd,NA,-90.0,-105.0,15.0,1.71,0,66.0,1,0.77,0,,,,672.0,,448.0,,False
89,LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.0333333,LOW,10,C,NA,105.0,105.0,0.0,,0,0.0,2,0.31,0,,,,,,,,False
90,LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.5166667,LOW,1,LF,NA,7.5,4.0,3.5,0.14,0,0.0,2,44.6,0,100.0,8.0,108.0,2185.0,19903.0,2185.0,170.21,True
91,LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.5166667,LOW,2,H,NA,4.0,0.0,4.0,0.14,0,0.0,2,32.92,0,,,,1844.0,,1844.0,,False
92,LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.5166667,LOW,3,Bf1,NA,0.0,-20.0,20.0,1.38,0,40.0,1,1.69,0,,,,2799.0,,2799.0,,False
93,LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.5166667,LOW,4,Bf2,NA,-20.0,-40.0,20.0,1.38,0,55.0,1,1.55,0,,,,1925.0,,1925.0,,False
94,LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.5166667,LOW,5,Bf3,NA,-40.0,-60.0,20.0,1.38,0,60.0,1,1.71,0,,,,1888.0,,1888.0,,False
95,LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.5166667,LOW,6,Bfgj1,NA,-60.0,-80.0,20.0,1.38,0,63.0,1,2.1,0,,,,2145.0,,2145.0,,False
96,LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.5166667,LOW,7,Bfgh2,NA,-80.0,-112.0,32.0,1.38,0,55.0,1,3.41,0,,,,6776.0,,4235.0,,False
97,LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.5166667,LOW,8,BCd,NA,-112.0,-127.0,15.0,1.38,0,39.0,1,0.27,0,,,,341.0,,0.0,,False
98,LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.5166667,LOW,9,C,NA,127.0,127.0,0.0,,0,0.0,2,0.12,0,,,,,,,,False
99,LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.5,-127.333,LOW,1,LF,NA,10.0,7.5,2.5,0.14,0,0.0,2,48.23,0,100.0,10.0,110.0,1688.0,20944.0,1688.0,208.2,True
100,LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.5,-127.333,LOW,2,H,NA,7.5,0.0,7.5,0.14,0,0.0,2,48.81,0,,,,5125.0,,5125.0,,False
101,LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.5,-127.333,LOW,3,Bfh1,NA,0.0,-15.0,15.0,1.38,0,52.0,1,4.24,0,,,,4213.0,,4213.0,,False
102,LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.5,-127.333,LOW,4,Bfh2,NA,-15.0,-30.0,15.0,1.38,0,52.0,1,3.23,0,,,,3209.0,,3209.0,,False
103,LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.5,-127.333,LOW,5,Bf1,NA,-30.0,-45.0,15.0,1.38,0,46.0,1,2.11,0,,,,2359.0,,2359.0,,False
104,LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.5,-127.333,LOW,6,Bf2,NA,-45.0,-60.0,15.0,1.38,0,59.0,1,1.22,0,,,,1035.0,,1035.0,,False
105,LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.5,-127.333,LOW,7,Bfgj1,NA,-60.0,-75.0,15.0,1.38,0,56.0,1,1.12,0,,,,1020.0,,1020.0,,False
106,LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.5,-127.333,LOW,8,Bfgh2,NA,-75.0,-90.0,15.0,1.38,0,56.0,1,2.11,0,,,,1922.0,,1922.0,,False
107,LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.5,-127.333,LOW,9,BCd,NA,-90.0,-105.0,15.0,1.38,0,56.0,1,0.41,0,,,,373.0,,249.0,,False
108,LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.5,-127.333,LOW,10,C,NA,105.0,105.0,0.0,,0,0.0,2,0.17,0,,,,,,,,False
109,LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.1666667,LOW,1,LF,NA,7.5,5.0,2.5,0.16,0,0.0,2,42.02,0,78.0,8.0,85.0,1681.0,10648.0,1681.0,106.48,True
110,LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.1666667,LOW,2,H,NA,5.0,0.0,5.0,0.16,0,0.0,2,31.9,0,,,,2552.0,,2552.0,,False
111,LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.1666667,LOW,3,Ae,NA,0.0,-2.5,2.5,1.24,0,22.0,1,1.89,0,,,,457.0,,457.0,,False
112,LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.1666667,LOW,4,Bm1,NA,-2.5,-17.5,15.0,1.45,0,44.0,1,1.31,0,,,,1596.0,,1596.0,,False
113,LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.1666667,LOW,5,Bm2,NA,-17.5,-32.5,15.0,1.45,0,44.0,1,1.25,0,,,,1522.0,,1522.0,,False
114,LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.1666667,LOW,6,Bm3,NA,-32.5,-47.5,15.0,1.45,0,44.0,1,0.89,0,,,,1084.0,,1084.0,,False
115,LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.1666667,LOW,7,Bmgj,NA,-47.5,-62.5,15.0,1.45,0,56.0,1,1.04,0,,,,995.0,,995.0,,False
116,LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.1666667,LOW,8,BCd,NA,-62.5,-77.5,15.0,1.45,0,0.0,2,0.35,0,,,,761.0,,761.0,,False
117,LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.1666667,LOW,9,C,NA,-77.5,-77.5,0.0,,0,0.0,2,0.12,0,,,,,,,,False
118,LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.3666667,LOW,1,LF,NA,22.5,7.5,15.0,0.11,0,0.0,2,25.07,0,100.0,23.0,123.0,4137.0,55015.0,4137.0,544.21,True
119,LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.3666667,LOW,2,H,NA,7.5,0.0,7.5,0.11,0,0.0,2,50.34,0,,,,4153.0,,4153.0,,False
120,LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.3666667,LOW,3,Bhf1,NA,0.0,-15.0,15.0,0.86,0,49.0,1,10.98,0,,,,7224.0,,7224.0,,False
121,LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.3666667,LOW,4,Bhf2,NA,-15.0,-30.0,15.0,0.86,0,33.0,1,8.56,0,,,,7398.0,,7398.0,,False
122,LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.3666667,LOW,5,Bhf3,NA,-30.0,-45.0,15.0,0.86,0,29.0,1,7.93,0,,,,7263.0,,7263.0,,False
