id,source,pedon_id,order,lat,lon,latlon_q,horizon_number,horizon,ccontent,total_c,ccontent_1m,total_c_1m
116,LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.1666667,LOW,8,BCd,761.0,,761.0,
117,LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.1666667,LOW,9,C,,,,
118,LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.3666667,LOW,1,LF,4137.0,55015.0,4137.0,544.21
119,LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.3666667,LOW,2,H,4153.0,,4153.0,
120,LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.3666667,LOW,3,Bhf1,7224.0,,7224.0,
121,LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.3666667,LOW,4,Bhf2,7398.0,,7398.0,
122,LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.3666667,LOW,5,Bhf3,7263.0,,7263.0,
123,LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.3666667,LOW,6,Bhf4,9516.0,,9516.0,
124,LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.3666667,LOW,7,Bhfgj1,6426.0,,6426.0,
125,LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.3666667,LOW,8,Bhfgj2,7116.0,,7116.0,
126,LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.3666667,LOW,9,BCd,1782.0,,1188.0,
127,LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.3666667,LOW,10,C,,,,
128,LEWIS 1976,LW,Duric Ferro-Humic Podzol,50.61666667,-128.05,LOW,1,LF,919.0,20861.0,919.0,208.61
129,LEWIS 1976,LW,Duric Ferro-Humic Podzol,50.61666667,-128.05,LOW,2,H,4878.0,,4878.0,
130,LEWIS 1976,LW,Duric Ferro-Humic Podzol,50.61666667,-128.05,LOW,3,Bhf,5140.0,,5140.0,
131,LEWIS 1976,LW,Duric Ferro-Humic Podzol,50.61666667,-128.05,LOW,4,Bhf,4234.0,,4234.0,
132,LEWIS 1976,LW,Duric Ferro-Humic Podzol,50.61666667,-128.05,LOW,5,Bfhgj1,2793.0,,2793.0,
133,LEWIS 1976,LW,Duric Ferro-Humic Podzol,50.61666667,-128.05,LOW,6,Bfhgj2,1561.0,,1561.0,
134,LEWIS 1976,LW,Duric Ferro-Humic Podzol,50.61666667,-128.05,LOW,7,BCd,1336.0,,1336.0,
135,LEWIS 1976,LW,Duric Ferro-Humic Podzol,50.61666667,-128.05,LOW,8,C,,,,
136,LEWIS 1976,SW,Orthic Humo-Ferric Podzol,48.56666667,-124.3333333,LOW,1,LF,1631.0,30636.0,1631.0,268.01
137,LEWIS 1976,SW,Orthic Humo-Ferric Podzol,48.56666667,-124.3333333,LOW,2,H,4532.0,,4532.0,
138,LEWIS 1976,SW,Orthic Humo-Ferric Podzol,48.56666667,-124.3333333,LOW,3,Ae,593.0,,593.0,
139,LEWIS 1976,SW,Orthic Humo-Ferric Podzol,48.56666667,-124.3333333,LOW,4,Bfh,4438.0,,4438.0,
140,LEWIS 1976,SW,Orthic Humo-Ferric Podzol,48.56666667,-124.3333333,LOW,5,Bf1,3630.0,,3630.0,
141,LEWIS 1976,SW,Orthic Humo-Ferric Podzol,48.56666667,-124.3333333,LOW,6,Bf2,2320.0,,2320.0,
