id,source,pedon_id,order,horizon_number,horizon,horizon_type,depth2,depth1,depth,bulk_density,bd_method,cf,cf_method,cconc,cconc_method,ccontent,ccontent_1m
145,LEWIS 1976,SW,Orthic Humo-Ferric Podzol,10,Bfgj2,,-95.0,-110.0,15.0,1.46,0,33.0,1,3.92,0,5752.0,1917.0
146,LEWIS 1976,SW,Orthic Humo-Ferric Podzol,11,C,,-110.0,-110.0,0.0,,0,0.0,2,0.43,0,,
147,KRANABETTER AND BANNER 2000,Rainbow1,Orthic Ferro-Humic Podozol,1,L,,25.0,22.0,3.0,0.11,0,0.0,2,53.0,0,1749.0,1749.0
148,KRANABETTER AND BANNER 2000,Rainbow1,Orthic Ferro-Humic Podozol,2,Hr,,22.0,7.0,15.0,0.11,0,0.0,2,53.0,0,8745.0,8745.0
149,KRANABETTER AND BANNER 2000,Rainbow1,Orthic Ferro-Humic Podozol,3,Hh,,7.0,0.0,7.0,0.11,0,0.0,2,53.0,0,4081.0,4081.0
150,KRANABETTER AND BANNER 2000,Rainbow1,Orthic Ferro-Humic Podozol,4,Ae,,0.0,-7.0,7.0,0.93,0,0.0,2,2.9,0,1888.0,1888.0
151,KRANABETTER AND BANNER 2000,Rainbow1,Orthic Ferro-Humic Podozol,5,Bhf,,-7.0,-20.0,13.0,0.86,0,0.0,0,2.9,0,3242.0,3242.0
152,KRANABETTER AND BANNER 2000,Rainbow1,Orthic Ferro-Humic Podozol,6,C,,-20.0,-25.0,5.0,1.74,0,0.0,0,1.47,2,1279.0,1279.0
153,KRANABETTER AND BANNER 2000,Alywn Lk2,Orthic Humo-Ferric Podzol,1,L,,11.0,10.0,1.0,0.14,0,0.0,2,55.0,0,770.0,770.0
154,KRANABETTER AND BANNER 2000,Alywn Lk2,Orthic Humo-Ferric Podzol,2,Hr,,10.0,1.0,9.0,0.14,0,0.0,2,55.0,0,6930.0,6930.0
155,KRANABETTER AND BANNER 2000,Alywn Lk2,Orthic Humo-Ferric Podzol,3,Hh,,1.0,0.0,1.0,0.14,0,0.0,2,55.0,0,770.0,770.0
156,KRANABETTER AND BANNER 2000,Alywn Lk2,Orthic Humo-Ferric Podzol,4,Ae,,0.0,-1.0,1.0,1.31,0,0.0,2,1.9,0,249.0,249.0
157,KRANABETTER AND BANNER 2000,Alywn Lk2,Orthic Humo-Ferric Podzol,5,Bf1,,-1.0,-6.0,5.0,1.46,0,70.0,0,1.9,0,416.0,416.0
158,KRANABETTER AND BANNER 2000,Alywn Lk2,Orthic Humo-Ferric Podzol,6,Bf2,,-6.0,-75.0,69.0,1.46,0,70.0,0,1.46,2,4412.0,4412.0
159,KRANABETTER AND BANNER 2000,Alywn Lk2,Orthic Humo-Ferric Podzol,7,BC,,-75.0,-100.0,25.0,1.19,0,70.0,0,0.3,2,268.0,268.0
160,KRANABETTER AND BANNER 2000,Diana3,Orthic Humo-Ferric Podzol,1,L,,24.0,22.0,2.0,0.14,0,0.0,2,53.7,0,1504.0,1504.0
161,KRANABETTER AND BANNER 2000,Diana3,Orthic Humo-Ferric Podzol,2,Hr,,10.0,1.0,9.0,0.14,0,0.0,2,53.7,0,6766.0,6766.0
162,KRANABETTER AND BANNER 2000,Diana3,Orthic Humo-Ferric Podzol,3,Hh,,1.0,0.0,1.0,0.14,0,0.0,2,53.7,0,752.0,752.0
163,KRANABETTER AND BANNER 2000,Diana3,Orthic Humo-Ferric Podzol,4,Ae,,0.0,-1.0,1.0,1.31,0,0.0,2,4.4,0,576.0,576.0
