Row,SOURCE,ID,ORDER,LAT ,LON,LATLON_Q,Elevation,Slope,Aspect,HORIZON,DEPTH2,DEPTH1,DEPTH,MINERAL_D,FF_D,TOTAL_D,BULK DENSITY_MEAS,BULK DENSITY_SHAW,BULK DENSITY,CF,CCONC,CCONTENT,TOTAL_C,CCONTENT_1M,TOTAL_C_1M,,,,,,,,,Canadian Order,HORIZON,,cconc_method
291,NRCS (Michaelson et al. 2013),81AK280011,Thixotropic-skeletal Typic Cryaquod,56.757,-133.917,HIGH,NA,NA,NA,E2,18,36,18,,,,0.00,0.93,0.93,40,6.84,6866,,6866,,,,,,,,,,Humic Podzol,E2,,0
292,NRCS (Michaelson et al. 2013),81AK280011,Thixotropic-skeletal Typic Cryaquod,56.757,-133.917,HIGH,NA,NA,NA,Bhs,36,58,22,,,,0.00,0.86,0.86,65,7.22,4782,,4782,,,,,,,,,,Humic Podzol,Bhf,,0
293,NRCS (Michaelson et al. 2013),81AK280011,Thixotropic-skeletal Typic Cryaquod,56.757,-133.917,HIGH,NA,NA,NA,Bs,58,71,13,,,,0.00,1.17,1.17,75,8.66,3293,,3293,,,,,,,,,,Humic Podzol,bf,,0
294,NRCS (Michaelson et al. 2013),81AK280001,Dysic Lithic Cryofolist,56.849,-133.861,HIGH,NA,NA,NA,Oi,23,18,5,5,23,28,0.00,0.08,0.08,0,36.67,1467,60843,1467,172.2,44.53,,,,,,,,Folisol,Of,,1
295,NRCS (Michaelson et al. 2013),81AK280001,Dysic Lithic Cryofolist,56.849,-133.861,HIGH,NA,NA,NA,Oe,18,8,10,,,,0.00,0.12,0.12,0,40.64,4877,,4877,,,,,,,,,,Folisol,Om,,1
296,NRCS (Michaelson et al. 2013),81AK280001,Dysic Lithic Cryofolist,56.849,-133.861,HIGH,NA,NA,NA,Oa,8,0,8,,,,0.00,0.15,0.15,0,36.07,4328,,4328,,,,,,,,,,Folisol,Oh,,1
297,NRCS (Michaelson et al. 2013),81AK280001,Dysic Lithic Cryofolist,56.849,-133.861,HIGH,NA,NA,NA,C,0,5,5,,,,0.00,1.74,1.74,0,7.52,6545,,6545,,,,,,,,,,Folisol,C,,0
298,NRCS (Michaelson et al. 2013),85AK280003,"Loamy, mixed Humic Cryorthod",56.904,-133.764,HIGH,NA,NA,NA,Oe,13,0,13,152,13,165,0.00,0.12,0.12,0,55.18,8608,42747,8608,332.3,62.17,,,,,,,,Ferro-Humic Podzol,Om,,0
299,NRCS (Michaelson et al. 2013),85AK280003,"Loamy, mixed Humic Cryorthod",56.904,-133.764,HIGH,NA,NA,NA,E,0,3,3,,,,0.00,0.93,0.93,3,5.07,1372,,1372,,,,,,,,,,Ferro-Humic Podzol,E,,0
300,NRCS (Michaelson et al. 2013),85AK280003,"Loamy, mixed Humic Cryorthod",56.904,-133.764,HIGH,NA,NA,NA,Bh,3,8,5,,,,0.00,0.86,0.86,7,12.23,4892,,4892,,,,,,,,,,Ferro-Humic Podzol,Bh,,0
301,NRCS (Michaelson et al. 2013),85AK280003,"Loamy, mixed Humic Cryorthod",56.904,-133.764,HIGH,NA,NA,NA,Bs,8,64,56,,,,0.00,1.17,1.17,12,2.23,12859,,12859,,,,,,,,,,Ferro-Humic Podzol,bf,,0
302,NRCS (Michaelson et al. 2013),85AK280003,"Loamy, mixed Humic Cryorthod",56.904,-133.764,HIGH,NA,NA,NA,BC,64,89,25,,,,0.00,1.71,1.71,11,0.92,3490,,3490,,,,,,,,,,Ferro-Humic Podzol,BC,,0
303,NRCS (Michaelson et al. 2013),85AK280003,"Loamy, mixed Humic Cryorthod",56.904,-133.764,HIGH,NA,NA,NA,C,89,152,63,,,,0.00,1.74,1.74,10,1.17,11526,,2012,,,,,,,,,,Ferro-Humic Podzol,C,,0
304,NRCS (Michaelson et al. 2013),85AK280004,"Loamy-skeletal, mixed, euic Terric Cryosaprist",56.901,-133.761,HIGH,NA,NA,NA,Oi,0,3,3,94,58,152,0.00,0.08,0.08,,36.67,880,37670,880,376.7,96.25,,,,,,,,Humisol,Of,,1
305,NRCS (Michaelson et al. 2013),85AK280004,"Loamy-skeletal, mixed, euic Terric Cryosaprist",56.901,-133.761,HIGH,NA,NA,NA,Oe,3,10,7,,,,0.00,0.12,0.12,,40.64,3414,,3414,,,,,,,,,,Humisol,Om,,1
306,NRCS (Michaelson et al. 2013),85AK280004,"Loamy-skeletal, mixed, euic Terric Cryosaprist",56.901,-133.761,HIGH,NA,NA,NA,Oa,10,58,48,,,,0.00,0.15,0.15,0,23.81,17144,,17144,,,,,,,,,,Humisol,Oh,,0
307,NRCS (Michaelson et al. 2013),85AK280004,"Loamy-skeletal, mixed, euic Terric Cryosaprist",56.901,-133.761,HIGH,NA,NA,NA,2C,58,152,94,,,,0.00,1.74,1.74,19,1.23,16232,,16232,,,,,,,,,,Humisol,2C,,0
308,NRCS (Michaelson et al. 2013),81AK280004,Thixotropic-skeletal Humic Cryorthod,56.922,-134.250,HIGH,NA,NA,NA,O1,10,8,2,71,10,81,0.00,0.11,0.11,0,37.79,831,35799,831,358.0,50.40,,,,,,,,Ferro-Humic Podzol,O1,,1
309,NRCS (Michaelson et al. 2013),81AK280004,Thixotropic-skeletal Humic Cryorthod,56.922,-134.250,HIGH,NA,NA,NA,O2,8,0,8,,,,0.00,0.11,0.11,0,37.79,3326,,3326,,,,,,,,,,Ferro-Humic Podzol,O2,,1
310,NRCS (Michaelson et al. 2013),81AK280004,Thixotropic-skeletal Humic Cryorthod,56.922,-134.250,HIGH,NA,NA,NA,Bhs,0,13,13,,,,0.00,0.86,0.86,20,10.49,9378,,9378,,,,,,,,,,Ferro-Humic Podzol,Bhf,,0
311,NRCS (Michaelson et al. 2013),81AK280004,Thixotropic-skeletal Humic Cryorthod,56.922,-134.250,HIGH,NA,NA,NA,Bs1,13,25,12,,,,0.00,1.17,1.17,20,5.83,6550,,6550,,,,,,,,,,Ferro-Humic Podzol,bf1,,0
312,NRCS (Michaelson et al. 2013),81AK280004,Thixotropic-skeletal Humic Cryorthod,56.922,-134.250,HIGH,NA,NA,NA,Bs2,25,46,21,,,,0.00,1.17,1.17,31,2.31,3912,,3912,,,,,,,,,,Ferro-Humic Podzol,bf2,,0
313,NRCS (Michaelson et al. 2013),81AK280004,Thixotropic-skeletal Humic Cryorthod,56.922,-134.250,HIGH,NA,NA,NA,C,46,71,25,,,,0.00,1.74,1.74,43,4.76,11802,,11802,,,,,,,,,,Ferro-Humic Podzol,C,,0
314,NRCS (Michaelson et al. 2013),81AK280005,"Loamy, mixed Lithic Cryorthod",56.917,-134.200,HIGH,NA,NA,NA,Oa,13,0,13,38,13,51,0.00,0.15,0.15,0,36.07,7033,31469,7033,314.7,47.94,,,,,,,,Humo-Ferric Podzol,Oh,,1
315,NRCS (Michaelson et al. 2013),81AK280005,"Loamy, mixed Lithic Cryorthod",56.917,-134.200,HIGH,NA,NA,NA,E,0,3,3,,,,0.00,1.31,1.31,5,5.60,2091,,2091,,,,,,,,,,Humo-Ferric Podzol,E,,0
316,NRCS (Michaelson et al. 2013),81AK280005,"Loamy, mixed Lithic Cryorthod",56.917,-134.200,HIGH,NA,NA,NA,Bs,3,5,2,,,,0.00,1.46,1.46,5,10.70,2968,,2968,,,,,,,,,,Humo-Ferric Podzol,bf,,0
317,NRCS (Michaelson et al. 2013),81AK280005,"Loamy, mixed Lithic Cryorthod",56.917,-134.200,HIGH,NA,NA,NA,B,5,13,8,,,,0.00,1.19,1.19,5,6.29,5685,,5685,,,,,,,,,,Humo-Ferric Podzol,B,,0
318,NRCS (Michaelson et al. 2013),81AK280005,"Loamy, mixed Lithic Cryorthod",56.917,-134.200,HIGH,NA,NA,NA,C,13,38,25,,,,0.00,1.91,1.91,10,3.19,13692,,13692,,,,,,,,,,Humo-Ferric Podzol,C,,0
319,NRCS (Michaelson et al. 2013),81AK280012,Thixotropic Humic Cryorthod,56.921,-134.244,HIGH,NA,NA,NA,O1,23,18,5,89,23,112,0.00,0.11,0.11,0,37.79,2079,55091,2079,550.9,90.46,,,,,,,,Ferro-Humic Podzol,O1,,1
320,NRCS (Michaelson et al. 2013),81AK280012,Thixotropic Humic Cryorthod,56.921,-134.244,HIGH,NA,NA,NA,O2,18,0,18,,,,0.00,0.11,0.11,0,37.79,7483,,7483,,,,,,,,,,Ferro-Humic Podzol,O2,,1
321,NRCS (Michaelson et al. 2013),81AK280012,Thixotropic Humic Cryorthod,56.921,-134.244,HIGH,NA,NA,NA,E,0,2,2,,,,0.00,0.93,0.93,0,5.84,1086,,1086,,,,,,,,,,Ferro-Humic Podzol,E,,1
322,NRCS (Michaelson et al. 2013),81AK280012,Thixotropic Humic Cryorthod,56.921,-134.244,HIGH,NA,NA,NA,Bhs,2,20,18,,,,0.00,0.86,0.86,15,16.74,22029,,22029,,,,,,,,,,Ferro-Humic Podzol,Bhf,,0
323,NRCS (Michaelson et al. 2013),81AK280012,Thixotropic Humic Cryorthod,56.921,-134.244,HIGH,NA,NA,NA,B,20,33,13,,,,0.00,1.71,1.71,15,4.70,8885,,8885,,,,,,,,,,Ferro-Humic Podzol,B,,0
324,NRCS (Michaelson et al. 2013),81AK280012,Thixotropic Humic Cryorthod,56.921,-134.244,HIGH,NA,NA,NA,C,33,89,56,,,,0.00,1.74,1.74,6,1.48,13530,,13530,,,,,,,,,,Ferro-Humic Podzol,C,,0
325,NRCS (Michaelson et al. 2013),81AK280013,"Loamy, mixed Typic Cryorthod",56.917,-134.204,HIGH,NA,NA,NA,Oa,8,0,8,130,8,138,0.00,0.15,0.15,0,36.07,4328,27759,4328,234.8,32.72,,,,,,,,Humo-Ferric Podzol,Oh,,1
326,NRCS (Michaelson et al. 2013),81AK280013,"Loamy, mixed Typic Cryorthod",56.917,-134.204,HIGH,NA,NA,NA,E,0,1,1,,,,0.00,1.31,1.31,0,5.84,765,,765,,,,,,,,,,Humo-Ferric Podzol,E,,1
327,NRCS (Michaelson et al. 2013),81AK280013,"Loamy, mixed Typic Cryorthod",56.917,-134.204,HIGH,NA,NA,NA,Bhs,1,5,4,,,,0.00,1.19,1.19,10,11.89,5092,,5092,,,,,,,,,,Humo-Ferric Podzol,Bhf,,0
328,NRCS (Michaelson et al. 2013),81AK280013,"Loamy, mixed Typic Cryorthod",56.917,-134.204,HIGH,NA,NA,NA,A,5,33,28,,,,0.00,1.31,1.31,10,1.13,3729,,3729,,,,,,,,,,Humo-Ferric Podzol,A,,0
329,NRCS (Michaelson et al. 2013),81AK280013,"Loamy, mixed Typic Cryorthod",56.917,-134.204,HIGH,NA,NA,NA,C,33,130,97,,,,0.00,1.91,1.91,10,0.83,13845,,9563,,,,,,,,,,Humo-Ferric Podzol,C,,0
330,NRCS (Michaelson et al. 2013),83AK280005,"Sandy-skeletal, mixed Humic Cryorthod",56.917,-132.829,HIGH,NA,NA,NA,O1,15,10,5,152,15,167,0.00,0.11,0.11,0,37.79,2079,16919,2079,154.0,59.62,,,,,,,,Ferro-Humic Podzol,O1,,1
331,NRCS (Michaelson et al. 2013),83AK280005,"Sandy-skeletal, mixed Humic Cryorthod",56.917,-132.829,HIGH,NA,NA,NA,O,10,0,10,,,,0.00,0.11,0.11,0,20.32,2236,,2236,,,,,,,,,,Ferro-Humic Podzol,O,,0
332,NRCS (Michaelson et al. 2013),83AK280005,"Sandy-skeletal, mixed Humic Cryorthod",56.917,-132.829,HIGH,NA,NA,NA,E,0,3,3,,,,0.00,0.93,0.93,0,5.84,1629,,1629,,,,,,,,,,Ferro-Humic Podzol,E,,1
333,NRCS (Michaelson et al. 2013),83AK280005,"Sandy-skeletal, mixed Humic Cryorthod",56.917,-132.829,HIGH,NA,NA,NA,Bs1,3,5,2,,,,0.00,1.17,1.17,12,7.92,1630,,1630,,,,,,,,,,Ferro-Humic Podzol,bf1,,0
334,NRCS (Michaelson et al. 2013),83AK280005,"Sandy-skeletal, mixed Humic Cryorthod",56.917,-132.829,HIGH,NA,NA,NA,Bs2,5,10,5,,,,0.00,1.17,1.17,17,4.67,2269,,2269,,,,,,,,,,Ferro-Humic Podzol,bf2,,0
335,NRCS (Michaelson et al. 2013),83AK280005,"Sandy-skeletal, mixed Humic Cryorthod",56.917,-132.829,HIGH,NA,NA,NA,B,10,23,13,,,,0.00,1.71,1.71,27,2.04,3306,,3306,,,,,,,,,,Ferro-Humic Podzol,B,,0
336,NRCS (Michaelson et al. 2013),83AK280005,"Sandy-skeletal, mixed Humic Cryorthod",56.917,-132.829,HIGH,NA,NA,NA,2C,23,152,129,,,,0.00,1.74,1.74,42,0.29,3771,,2251,,,,,,,,,,Ferro-Humic Podzol,2C,,0
337,NRCS (Michaelson et al. 2013),83AK280007,"Sandy, mixed Humic Cryorthod",56.917,-132.832,HIGH,NA,NA,NA,O,15,0,15,152,15,167,0.00,0.11,0.11,0,45.60,7524,17156,7524,156.6,49.74,,,,,,,,Ferro-Humic Podzol,O,,0
338,NRCS (Michaelson et al. 2013),83AK280007,"Sandy, mixed Humic Cryorthod",56.917,-132.832,HIGH,NA,NA,NA,A,0,5,5,,,,0.00,0.93,0.93,3,0.42,192,,192,,,,,,,,,,Ferro-Humic Podzol,A,,0
339,NRCS (Michaelson et al. 2013),83AK280007,"Sandy, mixed Humic Cryorthod",56.917,-132.832,HIGH,NA,NA,NA,Bhs,5,23,18,,,,0.00,0.86,0.86,9,2.03,2856,,2856,,,,,,,,,,Ferro-Humic Podzol,Bhf,,0
340,NRCS (Michaelson et al. 2013),83AK280007,"Sandy, mixed Humic Cryorthod",56.917,-132.832,HIGH,NA,NA,NA,Bs,23,38,15,,,,0.00,1.17,1.17,0,0.92,1610,,1610,,,,,,,,,,Ferro-Humic Podzol,bf,,0
341,NRCS (Michaelson et al. 2013),83AK280007,"Sandy, mixed Humic Cryorthod",56.917,-132.832,HIGH,NA,NA,NA,C,38,64,26,,,,0.00,1.74,1.74,0,0.54,2446,,2446,,,,,,,,,,Ferro-Humic Podzol,C,,0
342,NRCS (Michaelson et al. 2013),83AK280007,"Sandy, mixed Humic Cryorthod",56.917,-132.832,HIGH,NA,NA,NA,2C,64,152,88,,,,0.00,1.74,1.74,5,0.17,2528,,1034,,,,,,,,,,Ferro-Humic Podzol,2C,,0
343,NRCS (Michaelson et al. 2013),85AK280001,"Fine-silty, mixed Typic Cryaquod",56.924,-133.811,HIGH,NA,NA,NA,Oi,25,18,7,152,25,177,0.00,0.08,0.08,0,51.87,2905,52508,2905,502.4,107.13,,,,,,,,Humic Podzol,Of,,0
344,NRCS (Michaelson et al. 2013),85AK280001,"Fine-silty, mixed Typic Cryaquod",56.924,-133.811,HIGH,NA,NA,NA,Oa,18,0,18,,,,0.00,0.15,0.15,0,54.26,14650,,14650,,,,,,,,,,Humic Podzol,Oh,,0
345,NRCS (Michaelson et al. 2013),85AK280001,"Fine-silty, mixed Typic Cryaquod",56.924,-133.811,HIGH,NA,NA,NA,E,0,8,8,,,,0.00,0.93,0.93,9,14.39,9740,,9740,,,,,,,,,,Humic Podzol,E,,0
346,NRCS (Michaelson et al. 2013),85AK280001,"Fine-silty, mixed Typic Cryaquod",56.924,-133.811,HIGH,NA,NA,NA,Bh,8,15,7,,,,0.00,0.86,0.86,0,11.56,6957,,6957,,,,,,,,,,Humic Podzol,Bh,,0
347,NRCS (Michaelson et al. 2013),85AK280001,"Fine-silty, mixed Typic Cryaquod",56.924,-133.811,HIGH,NA,NA,NA,Bhs,15,28,13,,,,0.00,0.86,0.86,0,8.00,8948,,8948,,,,,,,,,,Humic Podzol,Bhf,,0
348,NRCS (Michaelson et al. 2013),85AK280001,"Fine-silty, mixed Typic Cryaquod",56.924,-133.811,HIGH,NA,NA,NA,Bs,28,41,13,,,,0.00,1.17,1.17,0,2.73,4156,,4156,,,,,,,,,,Humic Podzol,bf,,0
349,NRCS (Michaelson et al. 2013),85AK280001,"Fine-silty, mixed Typic Cryaquod",56.924,-133.811,HIGH,NA,NA,NA,BC,41,69,28,,,,0.00,1.71,1.71,0,0.32,1526,,1526,,,,,,,,,,Humic Podzol,BC,,0
350,NRCS (Michaelson et al. 2013),85AK280001,"Fine-silty, mixed Typic Cryaquod",56.924,-133.811,HIGH,NA,NA,NA,C,69,152,83,,,,0.00,1.74,1.74,0,0.25,3625,,1354,,,,,,,,,,Humic Podzol,C,,0
351,NRCS (Michaelson et al. 2013),85AK280002,"Fine-silty, mixed Humic Cryorthod",56.919,-133.810,HIGH,NA,NA,NA,Oa,15,0,15,152,15,167,0.00,0.15,0.15,0,51.49,11585,39601,11585,368.1,67.93,,,,,,,,Ferro-Humic Podzol,Oh,,0
352,NRCS (Michaelson et al. 2013),85AK280002,"Fine-silty, mixed Humic Cryorthod",56.919,-133.810,HIGH,NA,NA,NA,E,0,3,3,,,,0.00,0.93,0.93,0,8.01,2236,,2236,,,,,,,,,,Ferro-Humic Podzol,E,,0
353,NRCS (Michaelson et al. 2013),85AK280002,"Fine-silty, mixed Humic Cryorthod",56.919,-133.810,HIGH,NA,NA,NA,Bh,3,8,5,,,,0.00,0.86,0.86,0,13.08,5625,,5625,,,,,,,,,,Ferro-Humic Podzol,Bh,,0
354,NRCS (Michaelson et al. 2013),85AK280002,"Fine-silty, mixed Humic Cryorthod",56.919,-133.810,HIGH,NA,NA,NA,Bhs,8,13,5,,,,0.00,0.86,0.86,1,8.77,3732,,3732,,,,,,,,,,Ferro-Humic Podzol,Bhf,,0
355,NRCS (Michaelson et al. 2013),85AK280002,"Fine-silty, mixed Humic Cryorthod",56.919,-133.810,HIGH,NA,NA,NA,Bs,13,23,10,,,,0.00,1.17,1.17,0,6.70,7840,,7840,,,,,,,,,,Ferro-Humic Podzol,bf,,0
356,NRCS (Michaelson et al. 2013),85AK280002,"Fine-silty, mixed Humic Cryorthod",56.919,-133.810,HIGH,NA,NA,NA,Bm,23,43,20,,,,0.00,0.86,0.86,1,0.83,1414,,1414,,,,,,,,,,Ferro-Humic Podzol,Bm,,0
357,NRCS (Michaelson et al. 2013),85AK280002,"Fine-silty, mixed Humic Cryorthod",56.919,-133.810,HIGH,NA,NA,NA,BC,43,86,43,,,,0.00,1.71,1.71,0,0.49,3621,,3621,,,,,,,,,,Ferro-Humic Podzol,BC,,0
358,NRCS (Michaelson et al. 2013),85AK280002,"Fine-silty, mixed Humic Cryorthod",56.919,-133.810,HIGH,NA,NA,NA,C,86,152,66,,,,0.00,1.74,1.74,0,0.31,3548,,753,,,,,,,,,,Ferro-Humic Podzol,C,,0
359,NRCS (Michaelson et al. 2013),83AK130004,Thixotropic Humic Lithic Cryorthod,55.003,-133.160,HIGH,NA,NA,NA,O,20,10,10,42,20,62,0.00,0.14,0.14,0,42.78,5990,21695,5990,216.9,42.43,,,,,,,,Humo-Ferric Podzol,O,,0
360,NRCS (Michaelson et al. 2013),83AK130004,Thixotropic Humic Lithic Cryorthod,55.003,-133.160,HIGH,NA,NA,NA,Oa,10,0,10,,,,0.00,0.15,0.15,0,38.71,5807,,5807,,,,,,,,,,Humo-Ferric Podzol,Oh,,0
361,NRCS (Michaelson et al. 2013),83AK130004,Thixotropic Humic Lithic Cryorthod,55.003,-133.160,HIGH,NA,NA,NA,E,0,3,3,,,,0.00,1.31,1.31,13,1.87,640,,640,,,,,,,,,,Humo-Ferric Podzol,E,,0
362,NRCS (Michaelson et al. 2013),83AK130004,Thixotropic Humic Lithic Cryorthod,55.003,-133.160,HIGH,NA,NA,NA,Bs1,3,19,16,,,,0.00,1.46,1.46,8,1.58,3396,,3396,,,,,,,,,,Humo-Ferric Podzol,bf1,,0
363,NRCS (Michaelson et al. 2013),83AK130004,Thixotropic Humic Lithic Cryorthod,55.003,-133.160,HIGH,NA,NA,NA,Bs2,19,36,17,,,,0.00,1.46,1.46,11,1.76,3879,,3879,,,,,,,,,,Humo-Ferric Podzol,bf2,,0
364,NRCS (Michaelson et al. 2013),83AK130004,Thixotropic Humic Lithic Cryorthod,55.003,-133.160,HIGH,NA,NA,NA,BC,36,42,6,,,,0.00,1.19,1.19,2,2.83,1983,,1983,,,,,,,,,,Humo-Ferric Podzol,BC,,0
365,NRCS (Michaelson et al. 2013),83AK130157,Thixotropic Humic Cryorthod,55.071,-132.887,HIGH,NA,NA,NA,O,15,0,15,109,15,124,0.00,0.11,0.11,0,25.79,4255,42753,4255,392.1,55.11,,,,,,,,Ferro-Humic Podzol,O,,0
366,NRCS (Michaelson et al. 2013),83AK130157,Thixotropic Humic Cryorthod,55.071,-132.887,HIGH,NA,NA,NA,E,0,1,1,,,,0.00,0.93,0.93,6,4.34,379,,379,,,,,,,,,,Ferro-Humic Podzol,E,,0
367,NRCS (Michaelson et al. 2013),83AK130157,Thixotropic Humic Cryorthod,55.071,-132.887,HIGH,NA,NA,NA,Bh,1,5,4,,,,0.00,0.86,0.86,2,4.30,1448,,1448,,,,,,,,,,Ferro-Humic Podzol,Bh,,0
368,NRCS (Michaelson et al. 2013),83AK130157,Thixotropic Humic Cryorthod,55.071,-132.887,HIGH,NA,NA,NA,Bs1,5,33,28,,,,0.00,1.17,1.17,12,2.34,6736,,6736,,,,,,,,,,Ferro-Humic Podzol,bf1,,0
369,NRCS (Michaelson et al. 2013),83AK130157,Thixotropic Humic Cryorthod,55.071,-132.887,HIGH,NA,NA,NA,Bs2,33,109,76,,,,0.00,1.17,1.17,8,3.66,29935,,26390,,,,,,,,,,Ferro-Humic Podzol,bf2,,0
370,NRCS (Michaelson et al. 2013),83AK130158,Thixotropic Humic Cryorthod,55.071,-132.887,HIGH,NA,NA,NA,O1,40,25,15,100,40,140,0.00,0.11,0.11,0,17.75,2928,43470,2928,434.7,86.93,,,,,,,,Ferro-Humic Podzol,O1,,0
371,NRCS (Michaelson et al. 2013),83AK130158,Thixotropic Humic Cryorthod,55.071,-132.887,HIGH,NA,NA,NA,O2,25,0,25,,,,0.00,0.11,0.11,0,23.79,6542,,6542,,,,,,,,,,Ferro-Humic Podzol,O2,,0
372,NRCS (Michaelson et al. 2013),83AK130158,Thixotropic Humic Cryorthod,55.071,-132.887,HIGH,NA,NA,NA,E,0,3,3,,,,0.00,0.93,0.93,2,2.21,605,,605,,,,,,,,,,Ferro-Humic Podzol,E,,0
373,NRCS (Michaelson et al. 2013),83AK130158,Thixotropic Humic Cryorthod,55.071,-132.887,HIGH,NA,NA,NA,Bh,3,20,17,,,,0.00,0.86,0.86,3,8.46,11994,,11994,,,,,,,,,,Ferro-Humic Podzol,Bh,,0
374,NRCS (Michaelson et al. 2013),83AK130158,Thixotropic Humic Cryorthod,55.071,-132.887,HIGH,NA,NA,NA,Bs,20,52,32,,,,0.00,1.17,1.17,7,2.34,8136,,8136,,,,,,,,,,Ferro-Humic Podzol,bf,,0
375,NRCS (Michaelson et al. 2013),83AK130158,Thixotropic Humic Cryorthod,55.071,-132.887,HIGH,NA,NA,NA,C,52,100,48,,,,0.00,1.74,1.74,6,1.69,13265,,13265,,,,,,,,,,Ferro-Humic Podzol,C,,0
376,NRCS (Michaelson et al. 2013),83AK130159,Thixotropic Humic Cryorthod,55.071,-132.887,HIGH,NA,NA,NA,O,3,0,3,54,3,57,0.00,0.11,0.11,0,13.95,460,28479,460,284.8,17.59,,,,,,,,Ferro-Humic Podzol,O,,0
377,NRCS (Michaelson et al. 2013),83AK130159,Thixotropic Humic Cryorthod,55.071,-132.887,HIGH,NA,NA,NA,C1,0,15,15,,,,0.00,1.74,1.74,19,3.74,7901,,7901,,,,,,,,,,Ferro-Humic Podzol,C1,,0
378,NRCS (Michaelson et al. 2013),83AK130159,Thixotropic Humic Cryorthod,55.071,-132.887,HIGH,NA,NA,NA,C2,15,54,39,,,,0.00,1.74,1.74,36,4.63,20117,,20117,,,,,,,,,,Ferro-Humic Podzol,C2,,0
379,NRCS (Michaelson et al. 2013),83AK130160,Thixotropic Humic Cryorthod,55.071,-132.887,HIGH,NA,NA,NA,O,3,0,3,100,3,103,0.00,0.11,0.11,0,21.78,719,45093,719,450.9,41.45,,,,,,,,Ferro-Humic Podzol,O,,0
380,NRCS (Michaelson et al. 2013),83AK130160,Thixotropic Humic Cryorthod,55.071,-132.887,HIGH,NA,NA,NA,E,0,3,3,,,,0.00,0.93,0.93,5,3.81,1011,,1011,,,,,,,,,,Ferro-Humic Podzol,E,,0
381,NRCS (Michaelson et al. 2013),83AK130160,Thixotropic Humic Cryorthod,55.071,-132.887,HIGH,NA,NA,NA,Bhs1,3,15,12,,,,0.00,0.86,0.86,11,5.45,5002,,5002,,,,,,,,,,Ferro-Humic Podzol,Bhf1,,0
382,NRCS (Michaelson et al. 2013),83AK130160,Thixotropic Humic Cryorthod,55.071,-132.887,HIGH,NA,NA,NA,Bhs2,15,35,20,,,,0.00,0.86,0.86,7,3.89,6224,,6224,,,,,,,,,,Ferro-Humic Podzol,Bhf2,,0
383,NRCS (Michaelson et al. 2013),83AK130160,Thixotropic Humic Cryorthod,55.071,-132.887,HIGH,NA,NA,NA,Bhs3,35,52,17,,,,0.00,0.86,0.86,5,3.38,4693,,4693,,,,,,,,,,Ferro-Humic Podzol,Bhf3,,0
384,NRCS (Michaelson et al. 2013),83AK130160,Thixotropic Humic Cryorthod,55.071,-132.887,HIGH,NA,NA,NA,C,52,100,48,,,,0.00,1.74,1.74,9,3.61,27445,,27445,,,,,,,,,,Ferro-Humic Podzol,C,,0
385,NRCS (Michaelson et al. 2013),83AK130142,Thixotropic Humic Cryorthod,55.292,-132.630,HIGH,NA,NA,NA,O,10,0,10,102,10,112,0.00,0.11,0.11,0,31.61,3477,51599,3477,503.5,56.84,,,,,,,,Ferro-Humic Podzol,O,,0
386,NRCS (Michaelson et al. 2013),83AK130142,Thixotropic Humic Cryorthod,55.292,-132.630,HIGH,NA,NA,NA,E,0,2,2,,,,0.00,0.93,0.93,5,4.68,827,,827,,,,,,,,,,Ferro-Humic Podzol,E,,0
387,NRCS (Michaelson et al. 2013),83AK130142,Thixotropic Humic Cryorthod,55.292,-132.630,HIGH,NA,NA,NA,Bhs1,2,13,11,,,,0.00,0.86,0.86,10,4.87,4143,,4143,,,,,,,,,,Ferro-Humic Podzol,Bhf1,,0
388,NRCS (Michaelson et al. 2013),83AK130142,Thixotropic Humic Cryorthod,55.292,-132.630,HIGH,NA,NA,NA,Bhs2,13,43,30,,,,0.00,0.86,0.86,9,3.74,8773,,8773,,,,,,,,,,Ferro-Humic Podzol,Bhf2,,0
389,NRCS (Michaelson et al. 2013),83AK130142,Thixotropic Humic Cryorthod,55.292,-132.630,HIGH,NA,NA,NA,BC,43,81,38,,,,0.00,1.71,1.71,15,3.84,21224,,21224,,,,,,,,,,Ferro-Humic Podzol,BC,,0
390,NRCS (Michaelson et al. 2013),83AK130142,Thixotropic Humic Cryorthod,55.292,-132.630,HIGH,NA,NA,NA,C,81,102,21,,,,2.15,1.74,2.15,18,3.55,13154,,11902,,,,,,,,,,Ferro-Humic Podzol,C,,0
391,NRCS (Michaelson et al. 2013),83AK130143,"Sandy-skeletal, mixed Typic Cryofluvent",55.292,-132.630,HIGH,NA,NA,NA,Oi,18,10,8,102,18,120,0.00,0.08,0.08,0,31.68,2028,28459,2028,280.6,37.67,,,,,,,,Ferro-Humic Podzol,Of,,0
392,NRCS (Michaelson et al. 2013),83AK130143,"Sandy-skeletal, mixed Typic Cryofluvent",55.292,-132.630,HIGH,NA,NA,NA,Oa,10,0,10,,,,0.00,0.15,0.15,0,29.26,4388,,4388,,,,,,,,,,Ferro-Humic Podzol,Oh,,0
393,NRCS (Michaelson et al. 2013),83AK130143,"Sandy-skeletal, mixed Typic Cryofluvent",55.292,-132.630,HIGH,NA,NA,NA,C1,0,23,23,,,,0.00,1.74,1.74,27,2.20,6424,,6424,,,,,,,,,,Ferro-Humic Podzol,C1,,0
