Row,SOURCE,ID,ORDER,LAT ,LON,LATLON_Q,Elevation,Slope,Aspect,HORIZON,DEPTH2,DEPTH1,DEPTH,MINERAL_D,FF_D,TOTAL_D,BULK DENSITY_MEAS,BULK DENSITY_SHAW,BULK DENSITY,CF,CCONC,CCONTENT,TOTAL_C,CCONTENT_1M,TOTAL_C_1M,,,,,,,,,Canadian Order,HORIZON,,cconc_method
51,NRCS (Michaelson et al. 2013),90AK110009,"Loamy-skeletal, mixed Typic Cryorthod",58.419,-134.601,HIGH,NA,NA,NA,Oe,8,4,4,,,,0.00,0.12,0.12,0,48.23,2315,,2315,,,,,,,,,,Humo-Ferric Podzol,Om,,0
52,NRCS (Michaelson et al. 2013),90AK110009,"Loamy-skeletal, mixed Typic Cryorthod",58.419,-134.601,HIGH,NA,NA,NA,Oa,4,0,4,,,,0.00,0.15,0.15,0,45.19,2711,,2711,,,,,,,,,,Humo-Ferric Podzol,Oh,,0
53,NRCS (Michaelson et al. 2013),90AK110009,"Loamy-skeletal, mixed Typic Cryorthod",58.419,-134.601,HIGH,NA,NA,NA,Bs,3,9,6,,,,0.00,1.46,1.46,12,1.04,800,,800,,,,,,,,,,Humo-Ferric Podzol,bf,,0
54,NRCS (Michaelson et al. 2013),90AK110010,Medial-skeletal Andic Cryorthod,58.419,-134.601,HIGH,NA,NA,NA,Oi,18,17,1,42,18,60,0.00,0.08,0.08,0,57.86,463,20007,463,200.1,59.03,,,,,,,,Humo-Ferric Podzol,Of,,0
55,NRCS (Michaelson et al. 2013),90AK110010,Medial-skeletal Andic Cryorthod,58.419,-134.601,HIGH,NA,NA,NA,Oe,17,10,7,,,,0.00,0.12,0.12,0,55.19,4636,,4636,,,,,,,,,,Humo-Ferric Podzol,Om,,0
56,NRCS (Michaelson et al. 2013),90AK110010,Medial-skeletal Andic Cryorthod,58.419,-134.601,HIGH,NA,NA,NA,Oa,10,0,10,,,,0.00,0.15,0.15,0,41.76,6264,,6264,,,,,,,,,,Humo-Ferric Podzol,Oh,,0
57,NRCS (Michaelson et al. 2013),90AK110010,Medial-skeletal Andic Cryorthod,58.419,-134.601,HIGH,NA,NA,NA,E,0,2,2,,,,0.99,1.31,0.99,25,1.04,155,,155,,,,,,,,,,Humo-Ferric Podzol,E,,0
58,NRCS (Michaelson et al. 2013),90AK110010,Medial-skeletal Andic Cryorthod,58.419,-134.601,HIGH,NA,NA,NA,Bh,2,9,7,,,,0.00,1.19,1.19,20,4.07,2727,,2727,,,,,,,,,,Humo-Ferric Podzol,Bh,,0
59,NRCS (Michaelson et al. 2013),90AK110010,Medial-skeletal Andic Cryorthod,58.419,-134.601,HIGH,NA,NA,NA,2Bs,9,24,15,,,,0.00,1.19,1.19,21,2.30,3246,,3246,,,,,,,,,,Humo-Ferric Podzol,2bf,,0
60,NRCS (Michaelson et al. 2013),90AK110010,Medial-skeletal Andic Cryorthod,58.419,-134.601,HIGH,NA,NA,NA,2C,24,42,18,,,,1.11,1.91,1.11,41,2.12,2516,,2516,,,,,,,,,,Humo-Ferric Podzol,2C,,0
61,NRCS (Michaelson et al. 2013),90AK110008,"Loamy-skeletal, mixed Typic Cryorthod",58.489,-134.549,HIGH,NA,NA,NA,Oi,10,8,2,100,10,110,0.00,0.08,0.08,0,57.07,913,9418,913,94.2,33.02,,,,,,,,Humo-Ferric Podzol,Of,,0
62,NRCS (Michaelson et al. 2013),90AK110008,"Loamy-skeletal, mixed Typic Cryorthod",58.489,-134.549,HIGH,NA,NA,NA,Oe,8,4,4,,,,0.00,0.12,0.12,0,57.49,2759,,2759,,,,,,,,,,Humo-Ferric Podzol,Om,,0
63,NRCS (Michaelson et al. 2013),90AK110008,"Loamy-skeletal, mixed Typic Cryorthod",58.489,-134.549,HIGH,NA,NA,NA,Oa,4,0,4,,,,0.00,0.15,0.15,0,47.48,2849,,2849,,,,,,,,,,Humo-Ferric Podzol,Oh,,0
64,NRCS (Michaelson et al. 2013),90AK110008,"Loamy-skeletal, mixed Typic Cryorthod",58.489,-134.549,HIGH,NA,NA,NA,E,0,3,3,,,,1.55,1.31,1.55,19,2.10,788,,788,,,,,,,,,,Humo-Ferric Podzol,E,,0
