SOURCE,ID,ORDER,LAT ,LON,LATLON_Q,Elevation,Slope,Aspect,HORIZON,DEPTH2,DEPTH1,DEPTH,MINERAL_D,FF_D,TOTAL_D,BULK DENSITY,CF,CCONC,CCONTENT,TOTAL_C,CCONTENT_1M,TOTAL_C_1M
LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.5166667,LOW,244,10,W,Bf1,0,-20,20,,,,1.38,40,1.69,2799,,2799,
LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.5166667,LOW,244,10,W,Bf2,-20,-40,20,,,,1.38,55,1.55,1925,,1925,
LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.5166667,LOW,244,10,W,Bf3,-40,-60,20,,,,1.38,60,1.71,1888,,1888,
LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.5166667,LOW,244,10,W,Bfgj1,-60,-80,20,,,,1.38,63,2.10,2145,,2145,
LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.5166667,LOW,244,10,W,Bfgh2,-80,-112,32,,,,1.38,55,3.41,6776,,4235,
LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.5166667,LOW,244,10,W,BCd,-112,-127,15,,,,1.38,39,0.27,341,,0,
LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.5166667,LOW,244,10,W,C,127,127,0,,,,NA,,0.12,NA,,NA,
LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.5,-127.333,LOW,168,5,FLAT,LF,10,7.5,2.5,100,10,110,0.14,,48.23,1688,20945,1688,208.2
LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.5,-127.333,LOW,168,5,FLAT,H,7.5,0,7.5,,,,0.14,,48.81,5125,,5125,
LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.5,-127.333,LOW,168,5,FLAT,Bfh1,0,-15,15,,,,1.38,52,4.24,4213,,4213,
LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.5,-127.333,LOW,168,5,FLAT,Bfh2,-15,-30,15,,,,1.38,52,3.23,3209,,3209,
LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.5,-127.333,LOW,168,5,FLAT,Bf1,-30,-45,15,,,,1.38,46,2.11,2359,,2359,
LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.5,-127.333,LOW,168,5,FLAT,Bf2,-45,-60,15,,,,1.38,59,1.22,1035,,1035,
LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.5,-127.333,LOW,168,5,FLAT,Bfgj1,-60,-75,15,,,,1.38,56,1.12,1020,,1020,
LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.5,-127.333,LOW,168,5,FLAT,Bfgh2,-75,-90,15,,,,1.38,56,2.11,1922,,1922,
LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.5,-127.333,LOW,168,5,FLAT,BCd,-90,-105,15,,,,1.38,56,0.41,373,,249,
LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.5,-127.333,LOW,168,5,FLAT,C,105,105,0,,,,NA,,0.17,NA,,NA,
LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.1666667,LOW,366,10,S,LF,7.5,5,2.5,78,8,85,0.16,,42.02,1681,10613,1681,106.1
LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.1666667,LOW,366,10,S,H,5,0,5,,,,0.16,,31.90,2552,,2552,
LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.1666667,LOW,366,10,S,Ae,0,-2.5,2.5,,,,1.24,22,1.89,457,,457,
LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.1666667,LOW,366,10,S,Bm1,-2.5,-17.5,15,,,,1.45,44,1.31,1582,,1582,
LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.1666667,LOW,366,10,S,Bm2,-17.5,-32.5,15,,,,1.45,44,1.25,1510,,1510,
LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.1666667,LOW,366,10,S,Bm3,-32.5,-47.5,15,,,,1.45,44,0.89,1075,,1075,
LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.1666667,LOW,366,10,S,Bmgj,-47.5,-62.5,15,,,,1.45,56,1.04,995,,995,
LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.1666667,LOW,366,10,S,BCd,-62.5,-77.5,15,,,,1.45,,0.35,761,,761,
LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.1666667,LOW,366,10,S,C,-77.5,-77.5,0,,,,NA,,0.12,NA,,NA,
LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.3666667,LOW,533,40,SE,LF,22.5,7.5,15,100,23,123,0.11,,25.07,4137,55028,4137,544.3
LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.3666667,LOW,533,40,SE,H,7.5,0,7.5,,,,0.11,,50.34,4153,,4153,
LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.3666667,LOW,533,40,SE,Bhf1,0,-15,15,,,,0.86,49,10.98,7224,,7224,
LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.3666667,LOW,533,40,SE,Bhf2,-15,-30,15,,,,0.86,33,8.56,7398,,7398,
LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.3666667,LOW,533,40,SE,Bhf3,-30,-45,15,,,,0.86,29,7.93,7263,,7263,
LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.3666667,LOW,533,40,SE,Bhf4,-45,-60,15,,,,0.86,33,11.01,9516,,9516,
LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.3666667,LOW,533,40,SE,Bhfgj1,-60,-75,15,,,,0.86,48,9.58,6426,,6426,
LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.3666667,LOW,533,40,SE,Bhfgj2,-75,-90,15,,,,0.86,41,9.35,7116,,7116,
LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.3666667,LOW,533,40,SE,BCd,-90,-105,15,,,,1.71,54,1.51,1795,,1196,
LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.3666667,LOW,533,40,SE,C,105,105,0,,,,NA,,1.43,NA,,NA,
LEWIS 1976,LW,Duric Ferro-Humic Podzol,50.61666667,-128.05,LOW,274,20,SE,LF,12.5,10,2.5,70,13,83,0.11,,33.41,919,20861,919,208.6
LEWIS 1976,LW,Duric Ferro-Humic Podzol,50.61666667,-128.05,LOW,274,20,SE,H,10,0,10,,,,0.11,,44.35,4879,,4879,
LEWIS 1976,LW,Duric Ferro-Humic Podzol,50.61666667,-128.05,LOW,274,20,SE,Bhf,0,-15,15,,,,0.86,35,6.13,5140,,5140,
