SOURCE,ID,ORDER,LAT ,LON,LATLON_Q,Elevation,Slope,Aspect,HORIZON,DEPTH2,DEPTH1,DEPTH,MINERAL_D,FF_D,TOTAL_D,BULK DENSITY,CF,CCONC,CCONTENT,TOTAL_C,CCONTENT_1M,TOTAL_C_1M,CCONC_SLOPE,Depth of Mean,Real Depth,1/-Trendline Slope,,,
KRANABETTER AND BANNER 2000,,Orthic Ferro-Humic Podozol,54.03527778,-130.2608333,HIGH,NA,NA,NA,Fm,21,17,4,,,,0.11,,51.5,2266,,2266,,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Ferro-Humic Podozol,54.03527778,-130.2608333,HIGH,NA,NA,NA,Hr,17,7,10,,,,0.11,,51.5,5666,,5666,,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Ferro-Humic Podozol,54.03527778,-130.2608333,HIGH,NA,NA,NA,Hh,7,0,7,,,,0.11,,51.5,3966,,3966,,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Ferro-Humic Podozol,54.03527778,-130.2608333,HIGH,NA,NA,NA,Ah,0,-7,7,,,,0.93,,6.8,4401,,4401,,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Ferro-Humic Podozol,54.03527778,-130.2608333,HIGH,NA,NA,NA,Ae,-7,-15,8,,,,0.93,,6.8,5029,,5029,,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Ferro-Humic Podozol,54.03527778,-130.2608333,HIGH,NA,NA,NA,Bhf,-15,-30,15,,,,0.86,0,6.8,8720,,8720,,,,20,,,,
KRANABETTER AND BANNER 2000,,Orthic Ferro-Humic Podozol,54.03527778,-130.2608333,HIGH,NA,NA,NA,BC,-30,-40,10,,,,1.71,0,6.76,11560,,11560,,,0,20,,,,
KRANABETTER AND BANNER 2000,,Orthic Ferro-Humic Podozol,54.03527778,-130.2608333,HIGH,NA,NA,NA,C,-40,-75,35,,,,1.74,0,2.15,13099,,13099,,0.123,37.5,57.5,-0.12290901,,,
KRANABETTER AND BANNER 2000,Oona,Folisol (but horizons like pod),53.95666667,-130.2716667,HIGH,NA,NA,NA,L,46,45,1,20,46,66,0.14,,45.0,630,40264,630,402.6,,,,,,,
KRANABETTER AND BANNER 2000,,Folisol (but horizons like pod),53.95666667,-130.2716667,HIGH,NA,NA,NA,Hr,45,20,25,,,,0.14,,45.0,15750,,15750,,,,,,,,
KRANABETTER AND BANNER 2000,,Folisol (but horizons like pod),53.95666667,-130.2716667,HIGH,NA,NA,NA,Hh,20,0,20,,,,0.14,,45.0,12600,,12600,,,,,,,,
KRANABETTER AND BANNER 2000,,Folisol (but horizons like pod),53.95666667,-130.2716667,HIGH,NA,NA,NA,Ae,0,-5,5,,,,0.93,,4.3,1976,,1976,,,,,,,,
KRANABETTER AND BANNER 2000,,Folisol (but horizons like pod),53.95666667,-130.2716667,HIGH,NA,NA,NA,Bf,-5,-20,15,,,,1.46,0,4.3,9308,,9308,,,,,,,,
