Row,SOURCE,BEC Number,ID,GGROUP_EXP,ORDER_ONLY,LAT,LON,LATLON_Q,Elevation,Slope,Aspect,Horizon,UpperDepth,LowerDepth,DEPTH,Texture,HorizonType,MIN_D,FF_D,Zone,SurficialMaterialSurf,MINERAL_D,FF_D,TOTAL_D,BULK.DENSITY,CF,NEW.CCONC,CCONTENT,TOTAL_C,CCONTENT_1M,TOTAL_C_1M,next,,,,,
95,,276,19,HFP,Podzolic,,,,,,,Bf,-4,-24,20,SIL,2,20,0,IDF,FG,,,,1.38,0,1.7,4692,,4692,,,,,,,
96,,276,19,HFP,Podzolic,,,,,,,Bm,-24,-43,19,S,2,19,0,IDF,FG,,,,1.19,80,1.7,769,,769,,,,,,,
97,SEE BEC FILE,249,20,HFP,Podzolic,49.11702347,121.1703644,HIGH,NA,NA,NA,Fm,4,9,5,NA,1,0,5,BAFA,M,40,8,48,0.14,0,43.21,3025,8124,3025,8124,1,,,,,
98,,249,20,HFP,Podzolic,,,,,,,Ln,7,4,3,NA,1,0,3,BAFA,M,,,,0.14,0,43.21,1815,,1815,,,,,,,
99,,277,20,HFP,Podzolic,,,,,,,Bf,0,-40,40,SL,2,40,0,IDF,FG,,,,1.38,65,1.7,3284,,3284,,,,,,,
100,SEE BEC FILE,214,21,DYB,Brunisolic,49.12910843,121.1636963,HIGH,NA,NA,NA,Fm,3,0,3,NA,1,0,3,BAFA,M,60,3,63,0.16,0,37.4,1795,8725,1795,8725,1,,,,,
101,,227,21,DYB,Brunisolic,,,,,,,Ae,0,-12,12,LS,2,12,0,CWH,FG,,,,1.24,30,3.36,3500,,3500,,,,,,,
102,,227,21,DYB,Brunisolic,,,,,,,Bm,-12,-42,30,SL,2,30,0,CWH,FG,,,,1.45,40,1.2,3132,,3132,,,,,,,
103,,227,21,DYB,Brunisolic,,,,,,,BC,-42,-60,18,S,2,18,0,CWH,FG,,,,1.45,70,0.38,298,,298,,,,,,,
104,SEE BEC FILE,315,22,SB,Brunisolic,49.07877731,121.3074722,HIGH,NA,NA,NA,L,13,12,1,NA,1,0,1,BAFA,M,30,13,43,0.16,0,37.4,598,17606,598,17606,1,,,,,
105,,315,22,SB,Brunisolic,,,,,,,Fz,12,4,8,NA,1,0,8,,,,,,0.16,0,37.4,4787,,4787,,,,,,,
106,,315,22,SB,Brunisolic,,,,,,,H,4,0,4,NA,1,0,4,,,,,,0.16,0,30.85,1974,,1974,,,,,,,
107,,344,22,SB,Brunisolic,,,,,,,Ah,0,-30,30,LS,2,30,0,MH,O,,,,1.07,5,3.36,10246,,10246,,,,,,,
108,SEE BEC FILE,241,23,HFP,Podzolic,49.07866669,121.3078537,HIGH,NA,NA,NA,L,9,8,1,NA,1,0,1,,,39,9,48,0.14,0,43.21,605,9662,605,9662,1,,,,,
109,,241,23,HFP,Podzolic,,,,,,,Fm,8,1,7,NA,1,0,7,,,,,,0.14,0,43.21,4235,,4235,,,,,,,
110,,241,23,HFP,Podzolic,,,,,,,H,1,0,1,NA,1,0,1,,,,,,0.14,0,36.65,513,,513,,,,,,,
111,,267,23,HFP,Podzolic,,,,,,,Ae,0,-3,3,LS,2,3,0,MH,C,,,,1.31,50,4.74,931,,931,,,,,,,
112,,267,23,HFP,Podzolic,,,,,,,Bf,-3,-39,36,LS,2,36,0,MH,C,,,,1.38,60,1.7,3378,,3378,,,,,,,
113,SEE BEC FILE,632,24,G,Gleysolic,49.58393097,120.9835968,HIGH,NA,NA,NA,L,11,10,1,NA,1,0,1,,,60,11,71,0.12,0,42.07,505,20224,505,20224,1,,,,,
114,,632,24,G,Gleysolic,,,,,,,Fm,10,5,5,NA,1,0,5,,,,,,0.12,0,42.07,2524,,2524,,,,,,,
115,,632,24,G,Gleysolic,,,,,,,H,5,0,5,NA,1,0,5,,,,,,0.21,0,35.51,3729,,3729,,,,,,,
