Row,HORIZON_ID,LOCATION_ID,HORIZON,HZN_ORG_MIN,UPPER_HZN_LIMIT,HZN_THICKNESS,BULK_DENSITY,DB_MEAS_EST,DB_EST_TYPE,CF_CLASS,CF_VOL_PCT,CF_FINAL,ORG_CARB_PCT,CARB_MEAS_EST,CCONTENT,TOTAL_C,CCONTENT_1M,TOTAL_C_1M
134,9928,1885,IIBf,Mineral,70,30,1.46,Estimated,LOOKUP_DB,,70,70,2.39,Measured,3140,,3140,
135,9929,1886,H,Organic,-3,3,0.11,Estimated,LOOKUP_DB,,NA,0,31.76,Measured,1048,46920,1048,469.2
136,9930,1886,Bhf1,Mineral,0,3,0.86,Estimated,LOOKUP_DB,,2,2,12.75,Measured,3224,,3224,
137,9931,1886,Bhf2,Mineral,3,6,0.86,Estimated,LOOKUP_DB,,2,2,11.88,Measured,6007,,6007,
138,9932,1886,Bhf3,Mineral,9,31,0.86,Estimated,LOOKUP_DB,,1,1,10.83,Measured,28584,,28584,
139,9933,1886,IIBhf,Mineral,40,20,0.86,Estimated,LOOKUP_DB,,57,57,7.03,Measured,5199,,5199,
140,9934,1886,IIIBf1,Mineral,60,18,1.17,Estimated,LOOKUP_DB,,30,30,1.65,Measured,2432,,2432,
141,9935,1886,IIIBf2,Mineral,78,22,1.17,Estimated,LOOKUP_DB,,90,90,1.65,Measured,425,,425,
142,9936,1887,H,Organic,-14,14,0.14,Estimated,LOOKUP_DB,,NA,0,52.62,Measured,10314,21501,10314,215.0
143,9937,1887,Ae,Mineral,0,1,1.31,Estimated,LOOKUP_DB,,NA,0,1.6,Estimated,210,,210,
144,9938,1887,Bf,Mineral,1,22,1.46,Estimated,LOOKUP_DB,,40,40,4.37,Measured,8422,,8422,
145,9939,1887,IIBm,Mineral,23,77,1.19,Estimated,LOOKUP_DB,,70,70,0.93,Measured,2556,,2556,
146,9940,1888,F,Organic,-20,4,0.11,Estimated,LOOKUP_DB,,NA,0,50.2,Estimated,2209,38731,2209,387.3
147,9941,1888,H,Organic,-16,16,0.11,Estimated,LOOKUP_DB,,NA,0,50.26,Measured,8846,,8846,
148,9942,1888,Ae,Mineral,0,1,0.93,Estimated,LOOKUP_DB,,NA,0,3,Estimated,279,,279,
149,9943,1888,Bhf,Mineral,1,24,0.86,Estimated,LOOKUP_DB,,45,45,6.65,Measured,7549,,7549,
150,9944,1888,Bfgj,Mineral,25,35,1.17,Estimated,LOOKUP_DB,,45,45,3.72,Measured,8378,,8378,
151,9945,1888,Bhfgj,Mineral,60,30,0.86,Estimated,LOOKUP_DB,,45,45,6.85,Measured,9720,,9720,
152,9946,1888,Bg,Mineral,90,10,0.86,Estimated,LOOKUP_DB,,45,45,3.7,Estimated,1750,,1750,
153,9947,1889,F,Organic,-14,7,0.11,Estimated,LOOKUP_DB,,NA,0,49.25,Measured,3792,48401,3792,484.0
154,9948,1889,H,Organic,-7,7,0.11,Estimated,LOOKUP_DB,,NA,0,37.56,Measured,2892,,2892,
155,9949,1889,Bhf1,Mineral,0,6.5,0.86,Estimated,LOOKUP_DB,,20,20,9.87,Measured,4414,,4414,
156,9950,1889,Bhf2,Mineral,6.5,6.5,0.86,Estimated,LOOKUP_DB,,35,35,14.21,Measured,5163,,5163,
157,9951,1889,Bhf3,Mineral,13,34,0.86,Estimated,LOOKUP_DB,,5,5,11.57,Measured,32139,,32139,
158,9952,1889,Rock,Mineral,47,53,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,
159,9953,1890,F,Organic,-18,1,0.14,Estimated,LOOKUP_DB,,NA,0,49.2,Estimated,689,27824,689,278.2
160,9954,1890,H,Organic,-17,17,0.14,Estimated,LOOKUP_DB,,NA,0,52.47,Measured,12488,,12488,
